STARTED		Tue Jun 20 17:04:48 2017

Red on		Tue Jun 20 17:04:53 2017

Yellow on	Tue Jun 20 17:04:55 2017

Green on	Tue Jun 20 17:04:59 2017

Red on		Tue Jun 20 17:05:02 2017

Yellow on	Tue Jun 20 17:05:04 2017

Green on	Tue Jun 20 17:05:08 2017

Red on		Tue Jun 20 17:05:11 2017

Yellow on	Tue Jun 20 17:05:13 2017

PAUSE on	Tue Jun 20 17:05:14 2017

PAUSE off	Tue Jun 20 17:05:44 2017

Green on	Tue Jun 20 17:05:44 2017

Red on		Tue Jun 20 17:05:47 2017

Yellow on	Tue Jun 20 17:05:49 2017

Green on	Tue Jun 20 17:05:53 2017

Red on		Tue Jun 20 17:05:57 2017

Yellow on	Tue Jun 20 17:05:58 2017

Green on	Tue Jun 20 17:06:02 2017

Red on		Tue Jun 20 17:06:05 2017

Yellow on	Tue Jun 20 17:06:07 2017

Green on	Tue Jun 20 17:06:11 2017

Red on		Tue Jun 20 17:06:14 2017

Yellow on	Tue Jun 20 17:06:17 2017

Yellow on	Tue Jun 20 17:06:18 2017

Green on	Tue Jun 20 17:06:20 2017

Red on		Tue Jun 20 17:06:23 2017

Yellow on	Tue Jun 20 17:06:25 2017

Green on	Tue Jun 20 17:06:29 2017

Red on		Tue Jun 20 17:06:32 2017

Yellow on	Tue Jun 20 17:06:34 2017

Green on	Tue Jun 20 17:06:38 2017

Red on		Tue Jun 20 17:06:42 2017

Yellow on	Tue Jun 20 17:06:43 2017

Green on	Tue Jun 20 17:06:47 2017

Red on		Tue Jun 20 17:06:50 2017

Yellow on	Tue Jun 20 17:06:52 2017

Green on	Tue Jun 20 17:06:56 2017

Red on		Tue Jun 20 17:06:59 2017

Yellow on	Tue Jun 20 17:07:01 2017

STOPED		Tue Jun 20 17:07:05 2017

